theta,tolerance,sample,text,kf_err_to_perturbed,kf_err_to_clean,skate_ratio,jerk,ground_pen,div_from_ref
0,1.0,0,a man walks forward with arms relatively stiff at sides.,2.471179649798927e-10,2.471179649798927e-10,0.1076923076923077,259.924072265625,0.0,0.025609828531742096
0,1.0,1,"a person is boxing, jabbing mostly with his left hand.",8.318403743601266e-10,8.318403743601266e-10,0.09230769230769231,368.0419921875,0.0,0.036108095198869705
0,1.0,2,a person slowly walked forward and right direction,2.1589750820449893e-10,2.1589750820449893e-10,0.3435897435897436,1431.233154296875,0.0,0.17894037067890167
0,1.0,3,a person takes a big step backwards.,9.736553924222235e-11,9.736553924222235e-11,0.3435897435897436,623.2855834960938,0.0,0.08048314601182938
0,1.0,4,"from a standing position person leans their head down to their right slowly, in front of their chest then back up kind of like a snake.",5.139974001977521e-10,5.139974001977521e-10,0.0,116.989501953125,0.0,0.014123979955911636
0,1.0,5,person picks up something on their left side and moves it to their right side,5.21950871412713e-10,5.21950871412713e-10,0.0,79.73297882080078,0.0,0.007553542964160442
0,1.0,6,a person gets down and crawls around the floor.a,3.4399958437347777e-09,3.4399958437347777e-09,0.15384615384615385,1017.800048828125,0.0010999360820278525,0.1280205249786377
0,1.0,7,a man movea his right hand as if to wipe down a tabletop.,6.528803608851774e-10,6.528803608851774e-10,0.0,117.00267791748047,0.0,0.016134560108184814
0,1.0,8,the person is making an arm gesture putting his arms up into the air,6.869070867665528e-10,6.869070867665528e-10,0.0,144.27297973632812,0.0,0.014734022319316864
0,1.0,9,a person walks a path that bends left.,2.116642278116032e-10,2.116642278116032e-10,0.24102564102564103,678.7305297851562,1.551944478705991e-06,0.08204231411218643
0,1.0,10,a person is doing jumping jacks.,6.935002572205917e-10,6.935002572205917e-10,0.11282051282051282,653.777099609375,0.0001590114552527666,0.0777914971113205
0,1.0,11,a person walks forward and stops.,6.244094824525703e-11,6.244094824525703e-11,0.18974358974358974,297.2157287597656,0.0,0.03153557702898979
0,1.0,12,jumping forward quickly then stopping.,8.120686900703333e-10,8.120686900703333e-10,0.2153846153846154,782.0697631835938,0.0011794681195169687,0.10440816730260849
0,1.0,13,a person taking a huge diagonal step,9.630721914399842e-11,9.630721914399842e-11,0.29743589743589743,747.5586547851562,0.0,0.09534899890422821
0,1.0,14,"a man lifts his hands up in front his face and turns to his right, and then his left, and puts his hands back down.",4.723982871546184e-10,4.723982871546184e-10,0.0,105.35027313232422,0.0,0.01274452731013298
0,1.0,15,a person is putting both hands to his face.,4.752435112109765e-10,4.752435112109765e-10,0.0,132.5947265625,8.573489367336151e-07,0.01598072610795498
0,0.5,0,a man walks forward with arms relatively stiff at sides.,0.01321103423833847,0.01321103423833847,0.1076923076923077,191.32203674316406,0.0,0.027072308585047722
0,0.5,1,"a person is boxing, jabbing mostly with his left hand.",0.01794971153140068,0.01794971153140068,0.020512820512820513,296.4837951660156,0.0,0.04243037477135658
0,0.5,2,a person slowly walked forward and right direction,0.09484588354825974,0.09484588354825974,0.3128205128205128,826.0361938476562,0.0,0.1902039647102356
0,0.5,3,a person takes a big step backwards.,0.043700847774744034,0.043700847774744034,0.28205128205128205,354.8084411621094,0.0,0.08983901143074036
0,0.5,4,"from a standing position person leans their head down to their right slowly, in front of their chest then back up kind of like a snake.",0.0065364413894712925,0.0065364413894712925,0.0,77.6082534790039,0.0,0.014403394423425198
0,0.5,5,person picks up something on their left side and moves it to their right side,0.003944940399378538,0.003944940399378538,0.0,59.40984344482422,0.0,0.008816278539597988
0,0.5,6,a person gets down and crawls around the floor.a,0.0651489645242691,0.0651489645242691,0.1076923076923077,581.5316162109375,0.0009626847459003329,0.129135400056839
0,0.5,7,a man movea his right hand as if to wipe down a tabletop.,0.006622942630201578,0.006622942630201578,0.0,79.42327880859375,0.0,0.016818394884467125
0,0.5,8,the person is making an arm gesture putting his arms up into the air,0.00592490378767252,0.00592490378767252,0.0,104.79835510253906,2.6973002604790963e-06,0.014081010594964027
0,0.5,9,a person walks a path that bends left.,0.041103754192590714,0.041103754192590714,0.2,408.89703369140625,0.0,0.08512650430202484
0,0.5,10,a person is doing jumping jacks.,0.03621642291545868,0.03621642291545868,0.05641025641025641,410.06915283203125,0.00015405174053739756,0.07546461373567581
0,0.5,11,a person walks forward and stops.,0.01764831133186817,0.01764831133186817,0.1641025641025641,222.23052978515625,0.0,0.035177405923604965
0,0.5,12,jumping forward quickly then stopping.,0.05024658143520355,0.05024658143520355,0.14358974358974358,506.33465576171875,0.001197375007905066,0.11492150276899338
0,0.5,13,a person taking a huge diagonal step,0.047565918415784836,0.047565918415784836,0.21025641025641026,410.7313232421875,0.0,0.09658706188201904
0,0.5,14,"a man lifts his hands up in front his face and turns to his right, and then his left, and puts his hands back down.",0.005593711510300636,0.005593711510300636,0.0,71.9487075805664,0.0,0.01285743061453104
0,0.5,15,a person is putting both hands to his face.,0.008015075698494911,0.008015075698494911,0.0,72.28184509277344,0.0,0.015103410929441452
0,0.2,0,a man walks forward with arms relatively stiff at sides.,0.020485637709498405,0.020485637709498405,0.06666666666666667,142.6992950439453,0.0,0.028168905526399612
0,0.2,1,"a person is boxing, jabbing mostly with his left hand.",0.02642597258090973,0.02642597258090973,0.015384615384615385,240.58164978027344,0.0,0.03887203708291054
0,0.2,2,a person slowly walked forward and right direction,0.15081900358200073,0.15081900358200073,0.26153846153846155,483.974609375,2.60998405110513e-07,0.19556261599063873
0,0.2,3,a person takes a big step backwards.,0.0728762224316597,0.0728762224316597,0.30256410256410254,216.158447265625,0.0,0.09585218876600266
0,0.2,4,"from a standing position person leans their head down to their right slowly, in front of their chest then back up kind of like a snake.",0.010890369303524494,0.010890369303524494,0.0,54.70755386352539,0.0,0.015455088578164577
0,0.2,5,person picks up something on their left side and moves it to their right side,0.0061857071705162525,0.0061857071705162525,0.0,47.936065673828125,0.0,0.008512935601174831
0,0.2,6,a person gets down and crawls around the floor.a,0.10047949105501175,0.10047949105501175,0.06153846153846154,332.4776611328125,0.0007456053863279521,0.12941569089889526
0,0.2,7,a man movea his right hand as if to wipe down a tabletop.,0.010458825156092644,0.010458825156092644,0.0,60.62989044189453,0.0,0.017121870070695877
0,0.2,8,the person is making an arm gesture putting his arms up into the air,0.009890154004096985,0.009890154004096985,0.0,90.63762664794922,1.983945139727439e-06,0.01472662016749382
0,0.2,9,a person walks a path that bends left.,0.06641089171171188,0.06641089171171188,0.18974358974358974,254.72361755371094,0.0,0.08820544928312302
0,0.2,10,a person is doing jumping jacks.,0.05192796140909195,0.05192796140909195,0.06153846153846154,297.8770446777344,0.00011713747517205775,0.07070398330688477
0,0.2,11,a person walks forward and stops.,0.02623550407588482,0.02623550407588482,0.14871794871794872,163.2105712890625,0.0,0.03404988721013069
0,0.2,12,jumping forward quickly then stopping.,0.06950127333402634,0.06950127333402634,0.08205128205128205,313.3779296875,0.0009240468498319387,0.10525345802307129
0,0.2,13,a person taking a huge diagonal step,0.07453102618455887,0.07453102618455887,0.13846153846153847,229.4235382080078,0.0,0.09770844131708145
0,0.2,14,"a man lifts his hands up in front his face and turns to his right, and then his left, and puts his hands back down.",0.010107263922691345,0.010107263922691345,0.0,58.2500114440918,0.0,0.014342858456075191
